Time,Steps,PROCESS_CPU,PROCESS_IO,Total Reward,Avg Reward,CPU Queue,IO Queue
01:53:14,0,0,0,0,0,0,0
01:53:19,3,3,0,10,3.3333333333333335,434,58
01:53:24,7,6,1,10,1.4285714285714286,434,59
01:53:29,10,8,2,5,0.5,431,58
01:53:34,14,11,3,5,0.35714285714285715,429,57
01:53:39,17,13,4,0,0.0,427,56
01:53:44,21,16,5,0,0.0,427,55
01:53:49,25,19,6,0,0.0,424,54
01:53:54,28,21,7,15,0.5357142857142857,422,53
01:53:59,32,24,8,15,0.46875,419,52
01:54:04,35,27,8,10,0.2857142857142857,418,51
01:54:09,39,30,9,10,0.2564102564102564,414,50
01:54:14,43,33,10,10,0.23255813953488372,414,50
01:54:19,46,35,11,5,0.10869565217391304,411,49
01:54:24,50,38,12,5,0.1,410,48
01:54:29,53,40,13,0,0.0,408,47
01:54:34,57,43,14,0,0.0,405,46
01:54:39,61,46,15,0,0.0,404,45
01:54:44,64,48,16,15,0.234375,405,50
01:54:49,68,51,17,15,0.22058823529411764,403,50
01:54:54,71,54,17,10,0.14084507042253522,401,49
01:54:59,75,57,18,10,0.13333333333333333,398,48
01:55:04,79,60,19,10,0.12658227848101267,395,48
01:55:09,82,62,20,5,0.06097560975609756,394,46
01:55:14,86,65,21,5,0.05813953488372093,393,45
01:55:19,89,67,22,0,0.0,393,44
01:55:24,93,70,23,0,0.0,390,37
01:55:29,97,73,24,0,0.0,387,36
01:55:34,100,75,25,15,0.15,386,35
01:55:39,104,78,26,15,0.14423076923076922,383,34
01:55:44,108,81,27,15,0.1388888888888889,381,33
01:55:49,111,84,27,10,0.09009009009009009,378,32
01:55:54,115,87,28,10,0.08695652173913043,376,31
01:55:59,118,89,29,5,0.0423728813559322,372,31
01:56:04,122,92,30,15,0.12295081967213115,370,30
01:56:09,125,94,31,20,0.16,367,29
01:56:14,129,97,32,30,0.23255813953488372,365,28
01:56:19,133,100,33,40,0.3007518796992481,361,27
01:56:24,136,102,34,55,0.40441176470588236,359,27
01:56:29,140,105,35,65,0.4642857142857143,355,26
01:56:34,144,108,36,75,0.5208333333333334,354,25
01:56:39,147,111,36,80,0.54421768707483,350,24
01:56:44,151,114,37,90,0.5960264900662252,348,23
01:56:49,154,116,38,95,0.6168831168831169,344,24
01:56:54,158,119,39,105,0.6645569620253164,344,23
01:56:59,162,122,40,115,0.7098765432098766,344,22
01:57:04,165,124,41,120,0.7272727272727273,344,21
01:57:09,169,127,42,130,0.7692307692307693,341,21
01:57:14,172,129,43,145,0.8430232558139535,340,20
01:57:19,176,132,44,155,0.8806818181818182,336,19
01:57:24,180,135,45,165,0.9166666666666666,335,18
01:57:29,183,138,45,170,0.9289617486338798,331,16
01:57:34,187,141,46,180,0.9625668449197861,329,15
01:57:39,190,143,47,185,0.9736842105263158,325,15
01:57:44,194,146,48,195,1.0051546391752577,326,14
01:57:49,198,149,49,205,1.0353535353535352,324,13
01:57:54,201,151,50,210,1.044776119402985,322,12
01:57:59,205,154,51,220,1.0731707317073171,319,11
01:58:04,208,156,52,235,1.1298076923076923,317,11
01:58:09,212,159,53,245,1.1556603773584906,314,10
01:58:14,216,162,54,255,1.1805555555555556,312,9
01:58:19,219,165,54,260,1.187214611872146,309,8
01:58:24,223,168,55,270,1.210762331838565,306,7
01:58:29,226,170,56,275,1.2168141592920354,304,7
01:58:34,230,173,57,285,1.2391304347826086,301,6
01:58:39,234,176,58,295,1.2606837606837606,299,4
01:58:44,237,178,59,300,1.2658227848101267,295,0
01:58:49,241,181,60,310,1.2863070539419088,292,0
01:58:54,244,183,61,325,1.3319672131147542,291,0
01:58:59,248,187,61,335,1.3508064516129032,288,2
01:59:04,251,190,61,350,1.3944223107569722,287,2
01:59:09,254,193,61,365,1.437007874015748,283,3
01:59:14,257,196,61,380,1.4785992217898833,279,0
01:59:19,261,199,62,390,1.4942528735632183,278,1
01:59:24,264,202,62,405,1.5340909090909092,275,1
01:59:29,267,205,62,420,1.5730337078651686,272,1
01:59:34,270,208,62,435,1.6111111111111112,269,1
01:59:39,274,212,62,455,1.6605839416058394,262,1
01:59:44,277,215,62,470,1.6967509025270757,264,0
01:59:50,280,218,62,485,1.7321428571428572,261,0
01:59:55,283,221,62,500,1.7667844522968197,257,0
02:00:00,286,224,62,515,1.8006993006993006,256,0
02:00:05,290,228,62,535,1.8448275862068966,253,0
02:00:10,293,231,62,550,1.8771331058020477,248,0
02:00:15,296,234,62,565,1.9087837837837838,242,0
02:00:20,299,237,62,580,1.939799331103679,240,0
02:00:25,302,240,62,595,1.9701986754966887,239,0
02:00:30,305,243,62,610,2.0,236,0
02:00:35,308,246,62,625,2.029220779220779,233,0
02:00:40,311,249,62,640,2.057877813504823,228,0
02:00:45,315,253,62,660,2.0952380952380953,224,0
02:00:50,318,256,62,675,2.1226415094339623,223,1
02:00:55,321,259,62,690,2.149532710280374,217,0
02:01:00,324,262,62,705,2.175925925925926,211,0
02:01:05,327,265,62,720,2.2018348623853212,209,0
02:01:10,330,268,62,735,2.227272727272727,206,0
02:01:15,333,271,62,750,2.2522522522522523,204,0
02:01:20,336,274,62,765,2.2767857142857144,197,1
02:01:25,340,278,62,785,2.3088235294117645,197,0
02:01:30,343,281,62,800,2.3323615160349855,194,0
02:01:35,346,284,62,815,2.3554913294797686,190,0
02:01:40,349,287,62,830,2.378223495702006,187,0
02:01:45,352,290,62,845,2.4005681818181817,185,0
02:01:50,355,293,62,840,2.3661971830985915,183,0
02:01:56,358,296,62,855,2.388268156424581,185,1
02:02:01,361,299,62,870,2.409972299168975,194,0
02:02:06,365,303,62,870,2.3835616438356166,192,0
02:02:11,368,306,62,885,2.404891304347826,204,0
02:02:16,371,309,62,900,2.4258760107816713,201,0
02:02:21,374,312,62,915,2.446524064171123,199,0
02:02:26,377,315,62,930,2.46684350132626,192,0
02:02:31,380,318,62,945,2.486842105263158,190,0
02:02:36,383,321,62,960,2.506527415143603,186,0
02:02:41,387,325,62,980,2.5322997416020674,184,0
02:02:46,390,328,62,995,2.551282051282051,177,0
02:02:51,393,331,62,1010,2.5699745547073793,176,1
02:02:56,396,334,62,1025,2.5883838383838382,171,1
02:03:01,399,337,62,1040,2.606516290726817,169,1
02:03:06,403,341,62,1060,2.630272952853598,164,1
02:03:11,406,344,62,1075,2.647783251231527,161,0
02:03:16,409,347,62,1090,2.665036674816626,160,1
02:03:21,412,349,63,1095,2.657766990291262,156,0
02:03:26,416,353,63,1115,2.6802884615384617,157,0
02:03:31,419,356,63,1130,2.6968973747016705,155,0
02:03:36,422,359,63,1145,2.713270142180095,150,1
02:03:41,425,362,63,1160,2.7294117647058824,148,0
02:03:46,428,365,63,1175,2.7453271028037385,145,0
02:03:51,431,368,63,1190,2.7610208816705337,142,0
02:03:57,434,371,63,1205,2.7764976958525347,136,0
02:04:02,438,375,63,1225,2.7968036529680367,134,0
02:04:07,441,378,63,1240,2.811791383219955,131,0
02:04:12,444,381,63,1255,2.8265765765765765,127,0
02:04:17,447,384,63,1270,2.8411633109619685,126,1
02:04:22,450,387,63,1285,2.8555555555555556,114,0
02:04:27,453,390,63,1300,2.869757174392936,93,0
02:04:32,456,393,63,1315,2.883771929824561,75,0
02:04:37,459,396,63,1330,2.89760348583878,70,0
02:04:42,462,399,63,1345,2.911255411255411,72,0
02:04:47,466,403,63,1365,2.929184549356223,66,0
02:04:52,469,406,63,1380,2.9424307036247335,64,0
02:04:57,472,409,63,1395,2.955508474576271,62,0
02:05:02,475,412,63,1410,2.968421052631579,59,0
02:05:07,478,415,63,1425,2.981171548117155,53,0
02:05:12,481,418,63,1440,2.993762993762994,50,0
02:05:17,484,421,63,1475,3.0475206611570247,47,0
02:05:22,488,425,63,1535,3.1211498973305956,43,0
02:05:27,491,428,63,1580,3.2179226069246436,41,0
02:05:32,494,431,63,1625,3.289473684210526,39,0
02:05:37,497,434,63,1670,3.3601609657947686,40,1
02:05:42,500,437,63,1715,3.43,37,0
02:05:47,503,440,63,1760,3.4990059642147116,33,0
02:05:52,506,443,63,1805,3.567193675889328,31,0
02:05:57,509,446,63,1850,3.6345776031434185,27,0
02:06:03,513,450,63,1910,3.723196881091618,25,0
02:06:08,516,453,63,1955,3.7887596899224807,21,0
02:06:13,519,456,63,2000,3.8535645472061657,18,0
02:06:18,522,459,63,2045,3.917624521072797,13,0
02:06:23,525,462,63,2090,3.980952380952381,11,0
02:06:28,528,465,63,2135,4.043560606060606,5,0
02:06:33,531,468,63,2180,4.105461393596987,8,0
02:06:38,534,471,63,2225,4.166666666666667,5,0
02:06:43,538,475,63,2285,4.24721189591078,0,0
02:06:48,539,476,63,2300,4.267161410018553,0,0
02:06:53,540,477,63,2315,4.287037037037037,3,0
02:06:58,542,479,63,2345,4.326568265682657,0,0
02:07:03,543,480,63,2360,4.34622467771639,0,0
02:07:08,543,480,63,2360,4.34622467771639,0,0
02:07:13,543,480,63,2360,4.34622467771639,0,0
02:07:18,543,480,63,2360,4.34622467771639,0,0
02:07:23,543,480,63,2360,4.34622467771639,0,0
02:07:28,543,480,63,2360,4.34622467771639,0,0
02:07:34,544,481,63,2375,4.365808823529412,1,0
02:07:39,544,481,63,2375,4.365808823529412,0,0
02:07:44,544,481,63,2375,4.365808823529412,0,0
02:07:49,544,481,63,2375,4.365808823529412,0,0
02:07:54,545,482,63,2390,4.385321100917431,1,0
02:07:59,546,483,63,2405,4.404761904761905,0,0
02:08:04,548,485,63,2435,4.443430656934306,1,0
02:08:09,548,485,63,2435,4.443430656934306,0,0
02:08:14,548,485,63,2435,4.443430656934306,1,0
02:08:19,548,485,63,2435,4.443430656934306,0,0
02:08:24,548,485,63,2435,4.443430656934306,0,1
02:08:29,548,485,63,2435,4.443430656934306,0,0
02:08:34,549,486,63,2450,4.462659380692168,0,0
02:08:39,549,486,63,2450,4.462659380692168,0,0
02:08:44,549,486,63,2450,4.462659380692168,0,0
02:08:49,549,486,63,2450,4.462659380692168,0,0
